Date,HDFCBANK,HINDUNILVR,RELIANCE,SUNPHARMA,TATAMOTORS,TCS,FUTCOM-OIL
2005-02-09,50.65180969238281,106.35700988769531,64.72000885009766,39.91502380371094,79.83486938476562,119.09819030761719,2011.0
2005-02-10,49.91111373901367,102.08155059814453,65.3646240234375,40.008087158203125,79.9067153930664,119.085693359375,2052.0
2005-02-11,49.52352523803711,103.04267120361328,65.95500946044922,40.41679382324219,80.48957061767578,123.47332000732422,2060.0
2005-02-14,48.97662353515625,100.62319946289062,65.49114227294922,40.461299896240234,81.17621612548828,125.9664306640625,2067.0
2005-02-15,48.44693374633789,100.85519409179688,64.96702575683594,39.94334411621094,81.04845428466797,123.4375228881836,2089.0
2005-02-16,48.403865814208984,95.38655090332031,64.46699523925781,39.6236686706543,78.54139709472656,122.2579574584961,2086.0
2005-02-17,48.08519744873047,96.08255767822266,64.5633773803711,39.49013900756836,78.02240753173828,123.48217010498047,2115.0
2005-02-18,48.593353271484375,95.94998168945312,64.36458587646484,38.48255157470703,76.4255599975586,122.86917877197266,2117.0
2005-02-21,48.274681091308594,94.55796813964844,64.40074157714844,38.13859176635742,76.17007446289062,122.0256576538086,2117.0
2005-02-22,48.283287048339844,96.41399383544922,65.0091781616211,38.14263153076172,77.17609405517578,121.8380126953125,2203.0
2005-02-23,48.06797409057617,95.38655090332031,66.0634536743164,38.361148834228516,76.3776626586914,122.86557006835938,2218.0
2005-02-24,49.60966110229492,94.624267578125,65.90682983398438,39.21902847290039,75.3396987915039,122.24012756347656,2216.0
2005-02-25,49.105804443359375,93.16594696044922,65.08148956298828,38.781986236572266,75.07622528076172,121.89157104492188,2223.0
2005-02-28,50.58290100097656,95.48600006103516,67.02134704589844,38.555389404296875,76.00240325927734,123.39640045166016,2223.0
2005-03-01,49.7431526184082,96.91114807128906,65.97311401367188,39.25139236450195,74.30973052978516,121.30180358886719,2218.0
2005-03-02,49.674259185791016,97.34202575683594,66.22611236572266,39.03288650512695,74.02229309082031,122.24369049072266,2241.0
2005-03-03,49.6182746887207,99.62891387939453,67.30448913574219,39.20687484741211,76.50540924072266,124.17025756835938,2340.0
2005-03-04,50.46232986450195,99.29747009277344,68.925048828125,39.21902847290039,77.83081817626953,124.4114990234375,2298.0
2005-03-07,51.77577590942383,96.08255767822266,70.71427917480469,39.247344970703125,76.48944854736328,125.12105560302734,2306.0
2005-03-08,52.89974594116211,96.81172943115234,71.22032928466797,39.19878387451172,77.02439880371094,126.35059356689453,2346.0
2005-03-09,53.75672149658203,95.5522689819336,70.8287582397461,39.55488204956055,74.78080749511719,125.77337646484375,2390.0
2005-03-10,53.00310134887695,95.5522689819336,71.56974029541016,39.46180725097656,74.70894622802734,125.06385803222656,2331.0
2005-03-11,52.51218032836914,95.22084045410156,70.84080505371094,39.36470031738281,73.8306884765625,127.55696105957031,2344.0
2005-03-14,51.909271240234375,91.67449951171875,69.7624282836914,39.29994201660156,74.22989654541016,129.7373504638672,2342.0
2005-03-15,51.15135192871094,90.01732635498047,68.78045654296875,39.627723693847656,72.88054656982422,128.9152069091797,2381.0
2005-03-16,51.172882080078125,89.75218200683594,69.1961441040039,39.31613540649414,72.95240783691406,129.75523376464844,2415.0
2005-03-17,49.29959487915039,88.69159698486328,67.7743911743164,38.94789123535156,72.36955261230469,130.550537109375,2473.0
2005-03-18,48.73976516723633,88.59217834472656,68.90094757080078,39.18260192871094,73.60711669921875,131.24220275878906,2450.0
2005-03-21,48.162715911865234,86.33843231201172,67.43700408935547,38.76176071166992,71.96236419677734,130.1484375,2464.0
2005-03-22,47.521053314208984,86.70299530029297,65.62968444824219,38.96003723144531,69.3834228515625,128.99566650390625,2457.0
2005-03-23,45.789894104003906,88.59217834472656,66.59962463378906,38.5068359375,67.57099914550781,127.0030517578125,2320.0
2005-03-24,44.739131927490234,89.2881851196289,67.47315979003906,38.308555603027344,66.4452133178711,123.70561218261719,2354.0
2005-03-25,44.739131927490234,89.2881851196289,67.47315979003906,38.308555603027344,66.4452133178711,123.70561218261719,2354.0
2005-03-28,45.901851654052734,89.38761901855469,68.20814514160156,38.05766296386719,66.74063873291016,124.42403411865234,2358.0
2005-03-29,46.246368408203125,87.00128173828125,66.1658706665039,38.46231460571289,65.13579559326172,122.50284576416016,2342.0
2005-03-30,45.92769241333008,87.00128173828125,65.44294738769531,38.36518859863281,65.6627426147461,124.2596664428711,2304.0
2005-03-31,46.92678451538086,87.4653091430664,65.7923583984375,37.75416946411133,66.06196594238281,127.96807098388672,2414.0
2005-04-01,47.50383377075195,87.63101196289062,68.02742004394531,37.64895248413086,69.17584228515625,129.65689086914062,2472.0
2005-04-04,47.559818267822266,87.1670150756836,68.08162689208984,38.04957962036133,67.92230987548828,127.58381652832031,2476.0
2005-04-05,46.5047492980957,86.00696563720703,66.99723052978516,37.68942642211914,64.8962631225586,127.37826538085938,2453.0
2005-04-06,47.65886688232422,87.99557495117188,68.87083435058594,37.3940315246582,65.8304214477539,128.7990264892578,2446.0
2005-04-07,48.5029182434082,87.53157043457031,68.12982940673828,37.25644302368164,67.39533996582031,127.3550796508789,2364.0
2005-04-08,47.08180618286133,87.53157043457031,67.09363555908203,37.25644302368164,67.49913787841797,124.52777862548828,2335.0
2005-04-11,47.977542877197266,86.1727066040039,65.94898223876953,37.25240707397461,66.892333984375,121.85050201416016,2338.0
2005-04-12,48.102420806884766,87.79673767089844,66.11164855957031,37.24835968017578,67.21170806884766,123.49464416503906,2299.0
